cnpj,cnpj_basico,identificador_matriz_filial,situacao_cadastral,data_situacao_cadastral,data_de_inicio_atividade,cnae_fiscal_principal,uf,município,natureza_juridica,capital_social_da_empresa,porte_da_empresa,descricao,denominacoes
34021416000108,34021416,MATRIZ,ATIVA,2023-08-29,20190625,7319002,SP,0828,2135,"81000,00",MICRO EMPRESA,Promoção de vendas,OUTRAS ATIVIDADES DE SERVIÇOS
35529591000173,35529591,MATRIZ,ATIVA,2024-01-08,20191116,4723700,SP,6713,2135,"5000,00",MICRO EMPRESA,Comércio varejista de bebidas,OUTRAS ATIVIDADES DE SERVIÇOS
34022073000104,34022073,MATRIZ,ATIVA,2023-04-24,20190625,8211300,SP,6929,2062,"100000,00",DEMAIS,Serviços combinados de escritório e apoio administrativo,OUTRAS ATIVIDADES DE SERVIÇOS
35538393000176,35538393,MATRIZ,ATIVA,2023-10-09,20191118,9602502,SP,7107,2135,"1289,00",MICRO EMPRESA,Atividades de estética e outros serviços de cuidados com a beleza,OUTRAS ATIVIDADES DE SERVIÇOS
34023478000159,34023478,MATRIZ,ATIVA,2023-01-05,20190625,5611201,SP,6789,2135,"2000,00",MICRO EMPRESA,Restaurantes e similares,OUTRAS ATIVIDADES DE SERVIÇOS
35540945000180,35540945,MATRIZ,ATIVA,2023-02-27,20191118,5620104,SP,7107,2135,"1,00",MICRO EMPRESA,Fornecimento de alimentos preparados preponderantemente para consumo domiciliar,OUTRAS ATIVIDADES DE SERVIÇOS
34023923000180,34023923,MATRIZ,ATIVA,2023-08-22,20190625,8219999,SP,7107,2135,"30000,00",MICRO EMPRESA,Preparação de documentos e serviços especializados de apoio administrativo não especificados anteriormente,INDÚSTRIAS DE TRANSFORMAÇÃO
35545214000128,35545214,MATRIZ,ATIVA,2023-01-25,20191118,4330404,SP,6893,2135,"2000,00",MICRO EMPRESA,Serviços de pintura de edifícios em geral,INDÚSTRIAS DE TRANSFORMAÇÃO
34026727000160,34026727,MATRIZ,ATIVA,2023-11-20,20190625,4930201,SP,7107,2135,"5000,00",MICRO EMPRESA,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal.",INDÚSTRIAS DE TRANSFORMAÇÃO
35545274000140,35545274,MATRIZ,ATIVA,2023-04-16,20191118,0161003,SP,6475,2135,"60000,00",MICRO EMPRESA,"Serviço de preparação de terreno, cultivo e colheita",INDÚSTRIAS DE TRANSFORMAÇÃO
34026980000113,34026980,MATRIZ,ATIVA,2023-05-22,20190625,4520007,SP,7145,2135,"2000,00",MICRO EMPRESA,"Serviços de instalação, manutenção e reparação de acessórios para veículos automotores",INDÚSTRIAS DE TRANSFORMAÇÃO
35547543000108,35547543,MATRIZ,ATIVA,2023-11-30,20191119,8219999,SP,7107,2135,"200,00",MICRO EMPRESA,Preparação de documentos e serviços especializados de apoio administrativo não especificados anteriormente,INDÚSTRIAS DE TRANSFORMAÇÃO
34028956000113,34028956,MATRIZ,ATIVA,2023-05-09,20190625,8599604,SP,6291,2135,"1000,00",MICRO EMPRESA,Treinamento em desenvolvimento profissional e gerencial,INDÚSTRIAS DE TRANSFORMAÇÃO
35551245000191,35551245,MATRIZ,ATIVA,2023-05-31,20191119,8219999,SP,7071,2135,"3000,00",MICRO EMPRESA,Preparação de documentos e serviços especializados de apoio administrativo não especificados anteriormente,INDÚSTRIAS DE TRANSFORMAÇÃO
34029670000152,34029670,MATRIZ,ATIVA,2023-11-21,20190625,4930201,SP,6477,2135,"1,00",MICRO EMPRESA,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal.",INDÚSTRIAS DE TRANSFORMAÇÃO
35551390000172,35551390,MATRIZ,ATIVA,2023-09-06,20191119,7319002,SP,7107,2135,"1,00",MICRO EMPRESA,Promoção de vendas,INDÚSTRIAS DE TRANSFORMAÇÃO
34030721000166,34030721,MATRIZ,ATIVA,2023-06-21,20190626,9602502,SP,6569,2135,"4000,00",MICRO EMPRESA,Atividades de estética e outros serviços de cuidados com a beleza,INDÚSTRIAS DE TRANSFORMAÇÃO
35551504000184,35551504,MATRIZ,ATIVA,2023-05-17,20191119,4781400,SP,7107,2135,"1500,00",MICRO EMPRESA,Comércio varejista de artigos do vestuário e acessórios,INDÚSTRIAS DE TRANSFORMAÇÃO
34031345000124,34031345,MATRIZ,ATIVA,2023-01-31,20190626,5611201,SP,6477,2135,"7500,00",MICRO EMPRESA,Restaurantes e similares,INDÚSTRIAS DE TRANSFORMAÇÃO
35551961000179,35551961,MATRIZ,ATIVA,2023-03-22,20191119,9700500,SP,6891,2135,"998,00",MICRO EMPRESA,Serviços domésticos,INDÚSTRIAS DE TRANSFORMAÇÃO
34034153000171,34034153,MATRIZ,ATIVA,2023-03-13,20190626,9602501,SP,7107,2135,"2000,00",MICRO EMPRESA,"Cabeleireiros, manicure e pedicure",INDÚSTRIAS DE TRANSFORMAÇÃO
35552037000107,35552037,MATRIZ,ATIVA,2023-04-05,20191119,9609299,SP,7071,2135,"1500,00",MICRO EMPRESA,Outras atividades de serviços pessoais não especificadas anteriormente,INDÚSTRIAS DE TRANSFORMAÇÃO
28230641000151,28230641,MATRIZ,ATIVA,2023-09-29,20170720,8592999,SP,6973,2135,"2000,00",MICRO EMPRESA,Ensino de arte e cultura não especificado anteriormente,INDÚSTRIAS DE TRANSFORMAÇÃO
34036771000150,34036771,MATRIZ,ATIVA,2023-11-07,20190626,5611203,SP,6289,2135,"1,00",MICRO EMPRESA,"Lanchonetes, casas de chá, de sucos e similares",INDÚSTRIAS DE TRANSFORMAÇÃO
35553476000134,35553476,MATRIZ,ATIVA,2023-12-05,20191119,4753900,SP,6945,2135,"200000,00",MICRO EMPRESA,Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo,INDÚSTRIAS DE TRANSFORMAÇÃO
34037058000121,34037058,MATRIZ,ATIVA,2023-06-01,20190626,1412603,SP,7107,2135,"2500,00",MICRO EMPRESA,"Facção de peças do vestuário, exceto roupas íntimas",INDÚSTRIAS DE TRANSFORMAÇÃO
35554350000184,35554350,MATRIZ,ATIVA,2023-08-11,20191119,8211300,SP,6929,2062,"10000,00",DEMAIS,Serviços combinados de escritório e apoio administrativo,INDÚSTRIAS DE TRANSFORMAÇÃO
34037904000103,34037904,MATRIZ,ATIVA,2023-12-27,20190626,4530703,SP,7075,2135,"150000,00",MICRO EMPRESA,Comércio a varejo de peças e acessórios novos para veículos automotores,INDÚSTRIAS DE TRANSFORMAÇÃO
35556546000108,35556546,MATRIZ,ATIVA,2023-05-29,20191119,4721104,SP,7099,2135,"4000,00",MICRO EMPRESA,"Comércio varejista de doces, balas, bombons e semelhantes",INDÚSTRIAS DE TRANSFORMAÇÃO
34038134000113,34038134,MATRIZ,ATIVA,2023-12-07,20190626,8599699,SP,6213,2135,"1000,00",MICRO EMPRESA,Outras atividades de ensino não especificadas anteriormente,INDÚSTRIAS DE TRANSFORMAÇÃO
35560905000109,35560905,MATRIZ,ATIVA,2023-01-26,20191028,9430800,SP,7245,3999,"0,00",DEMAIS,Atividades de associações de defesa de direitos sociais,INDÚSTRIAS DE TRANSFORMAÇÃO
